"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery","Battery:BatteryHolder_Keystone_1042_1x18650",""
"2","C1, C2, C5, C11, C12, C15","6","100nF","Capacitor_SMD:C_0805_2012Metric",""
"3","C3","1","220nF","Capacitor_SMD:C_0805_2012Metric",""
"4","C4","1","4.7 uF","Capacitor_SMD:C_0805_2012Metric",""
"5","C7, C8, C16","3","10uF","Capacitor_SMD:C_0805_2012Metric",""
"6","C9, C10, C13","3","22uF","Capacitor_SMD:C_0805_2012Metric",""
"7","C14","1","10pF","Capacitor_SMD:C_0805_2012Metric",""
"8","D3","1","LED_Red","LED_SMD:LED_0402_1005Metric",""
"9","D4","1","LED_Green","LED_SMD:LED_0402_1005Metric",""
"10","L1","1","1Uh","Inductor_SMD:L_Chilisin_BMRA00040420",""
"11","R1, R2","2","4.7k","Resistor_SMD:R_0402_1005Metric",""
"12","R3, R4","2","2.2k","Resistor_SMD:R_0402_1005Metric",""
"13","R8","1","560k","Resistor_SMD:R_0402_1005Metric",""
"14","R9","1","100k","Resistor_SMD:R_0402_1005Metric",""
"15","R10, R11, R12","3","10k","Resistor_SMD:R_0402_1005Metric",""
"16","U1","1","TPS63060","Package_SON:Texas_S-PWSON-N10_ThermalVias",""
"17","U2","1","QMC5883L","Package_LGA:LGA-16_3x3mm_P0.5mm",""
"18","U3","1","BMI160","Package_LGA:Bosch_LGA-14_3x2.5mm_P0.5mm",""
"19","U5","1","BMP388","BMP388:PQFN50P200X200X80-10N",""
"20","U6","1","TP4057","Package_TO_SOT_SMD:SOT-23-6",""
"21","U7","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
